OBJECTID,KOD_ZSJ_D,NAZ_ZSJ_D,Population0,Population1,Foreign
1,199681,?êern?í za Bory d?¡l 1,971,961,34
2,199682,?êern?í za Bory d?¡l 2,14,13,0
3,199760,Drozdice,96,91,10
4,199840,Mn?¼tice,372,369,7
5,199920,Staro?¿ernsko,114,128,13
6,200010,?¢i?¥?¡n,43,43,1
7,322551,Dra?¥kovice d?¡l 1,527,513,10
8,322552,Dra?¥kovice d?¡l 2,0,0,0
9,459930,Hostovice,281,271,9
10,790730,L?íny na D??lku,372,360,11
11,790810,Opo?¿?¡nek,225,234,15
12,1032410,Nemo?íice,1088,1118,16
13,1093210,Ohrazenice,2257,2008,142
14,1176501,Pardubice-Star?® M?¼sto d?¡l 1,2685,508,41
15,1176502,Pardubice-Star?® M?¼sto d?¡l 2,18,20,1
16,1176680,St?©ed,5777,6089,475
17,1176760,Zelen?® P?©edm?¼st?¡,6995,7360,598
18,1176840,Zavadilka,219,232,8
19,1176920,Na spravedlnosti,80,108,33
20,1177060,Sk?©iv?ínek,3819,3778,223
21,1177140,Dukla,4443,5583,101
22,1177220,Vi?í??ovka,2847,3384,121
23,1177310,Jesni?¿?ínky,1783,1811,34
24,1177490,Zborovsk?® n?ím?¼st?¡,0,0,0
25,1177570,Pod vinic?¡,1,3,0
26,1177650,U kostel?¡?¿ka,2115,2603,336
27,1177730,Na Spo?©ilov?¼,2371,2424,60
28,1177810,Na Dr?í?¥ce-z?ípad,2041,2070,68
29,1177900,V?¼znice,0,745,0
30,1178030,Stud?ínka,1383,1406,22
31,1178110,Pardubi?¿ky-pr??myslov?¢ obvod,31,36,5
32,1178200,Pardubi?¿ky,1539,1546,22
33,1178380,Nemocnice,0,4,4
34,1178460,Pipenec,4,4,0
35,1178620,S?¡dli?ít?¼ Dubina,8802,8695,254
36,1178710,Velk?¢ les u Sezemic,6,8,0
37,1178890,H??rka,0,365,365
38,1178970,Osada H??rka,41,57,1
39,1179010,Horn?¡ polabina,0,0,0
40,1179190,Le?¥?ínka,202,261,23
41,1179270,Na slep?¢ch ramenech,38,44,10
42,1179350,Cihelna,274,313,6
43,1179430,F?íblovka-sever,1,7,2
44,1179510,Trnov?í,1264,1294,21
45,1179600,Polabiny II,3440,3532,122
46,1179780,Polabiny I,2658,2732,151
47,1179860,Stava?©ov,495,639,163
48,1179940,Polabiny III,3857,3997,209
49,1180010,Polabiny IV,3516,3527,140
50,1180100,Prutina,0,0,0
51,1180280,Zadn?¡ polabina,95,114,20
52,1180360,Sv?¡tkov,3359,3519,96
53,1180440,Sv?¡tkov-pr??myslov?¢ obvod,0,0,0
54,1180520,Z?ívodi?ít?¼,0,0,0
55,1180610,Za z?ívodi?ít?¼m,0,0,0
56,1180790,Zelenobransk?í dubina,33,32,0
57,1180871,Nov?® Jesen?¿any d?¡l 1,569,571,10
58,1180872,Nov?® Jesen?¿any d?¡l 2,0,0,0
59,1412080,Rosice,1527,1520,10
60,1412161,Semt?¡n-jih d?¡l 1,0,0,0
61,1412162,Semt?¡n-jih d?¡l 2,0,0,0
62,1473710,Doubravice,258,264,6
63,1473890,Semt?¡n-sever,70,50,2
64,1541720,Star?® ?ê?¡vice,1116,1092,15
65,3036660,F?íblovka-v?¢chod,4,5,0
66,3124520,Polabiny V,2295,2887,221
67,3124610,Pardubice-sever,1830,1811,68
68,3124790,Nov?í Cihelna,0,10,2
69,3124870,Nov?¢ Sv?¼t,0,6,0
70,3181590,U Z?íme?¿ku-z?ípad,472,479,3
71,3181830,Stud?ínka-pr??myslov?¢ obvod,0,0,0
72,3184770,Na ?ípici,6,10,4
73,3212900,Na Dr?í?¥ce-v?¢chod,827,825,26
74,3213030,Slovany,1902,2047,64
75,3213110,Popkovice,428,427,7
76,3213200,F?íblovka-z?ípad,0,0,0
77,3213380,Drozdice-pr??myslov?¢ obvod,0,0,0
78,3213460,U Z?íme?¿ku-v?¢chod,238,230,7
79,3223690,U Polabin IV,0,0,0
80,3290110,Kr?®ta,651,666,18
81,3290290,Pr??myslov?í z??na Star?® ?ê?¡vice,0,0,0
82,3290370,Na Hald?¼,45,46,2
83,3290450,Nov?í H??rka,4,0,0
84,3290530,U Jesni?¿?ínek,0,1,1
85,3290610,Z?ímek,0,0,0
86,3290700,Labsk?í,222,255,0
87,3290880,Zimn?¡ stadion,0,0,0
88,3290960,?¢idov,1359,1229,36
89,3291000,Dubina-jih,474,483,2
90,3291180,Obchodn?¡ z??na Trnov?í,0,0,0
91,3291260,Nov?í Trnov?í,322,474,22
92,3291340,Obchodn?¡ a v?¢robn?¡ are?íl,0,0,0
93,3291420,U Vinice,3,1,0
94,3291510,U krematoria,2,2,0
