BSU_CODE,permanent,temporary,Grand Total
0199681,10,6,16
0199760,2,,2
0199840,,7,7
0199920,4,8,12
0200010,,1,1
0322551,2,,2
0459930,8,3,11
0790730,,9,9
0790810,,73,73
1032410,10,7,17
1093210,45,69,114
1176501,16,19,35
1176680,107,250,357
1176760,190,394,584
1176840,1,8,9
1176920,4,9,13
1177060,73,131,204
1177140,53,42,95
1177220,25,38,63
1177310,16,27,43
1177650,41,43,84
1177730,27,26,53
1177810,19,18,37
1178030,8,12,20
1178110,2,4,6
1178200,9,14,23
1178380,1,4,5
1178620,103,103,206
1178890,,287,287
1178970,,2,2
1179190,8,19,27
1179270,4,23,27
1179350,4,,4
1179510,8,9,17
1179600,38,48,86
1179780,19,34,53
1179860,9,58,67
1179940,68,101,169
1180010,37,71,108
1180280,3,16,19
1180360,32,46,78
1180871,2,11,13
1412080,6,2,8
1473710,6,1,7
1473890,1,,1
1541720,10,4,14
3124520,46,177,223
3124610,28,16,44
3181590,1,7,8
3184770,,2,2
3212900,7,3,10
3213030,25,30,55
3213110,1,7,8
3213460,5,,5
3290110,9,7,16
3290700,2,3,5
3290960,24,20,44
3291000,3,1,4
3291260,9,10,19
#N/A,2,1,3
Grand Total,1193,2341,3534
